1. The beginning of The Gospel of Jesus Christ, [The Son of God SG->5];	αρχη του ευαγγελιου ιησου χριστου υιου του θεου.	arche tou euaggeliou iesou christou uiou tou theou.	Mar|1|1|

3. And He answered and said unto them, What did Moses command you?	ο δε αποκριθεις ειπεν αυτοις τι υμιν ενετειλατο μωϋσης	o de apokritheis eipen autois ti umin eneteilato moüses	Mar|10|3|

4. And they said, Moses suffered to write a bill of divorcement, and to put her away.	οι δε ειπαν επετρεψε μωϋσης βιβλιον αποστασιου γραψαι και απολυσαι.	oi de eipan epetrepse moüses biblion apostasiou grapsai kai apolusai.	Mar|10|4|

5. And Jesus answered and said unto them, For the hardness of your heart he wrote you this precept.	και ο ιησους ειπεν αυτοις προς την σκληροκαρδιαν υμων εγραψεν υμιν την εντολην ταυτην	kai o iesous eipen autois pros ten sklerokardian umon egrapsen umin ten entolen tauten	Mar|10|5|

6. But from the beginning of The Creation God made them male and female.	απο δε αρχης κτισεως αρσεν και θηλυ εποιησεν αυτους ο θεος	apo de arches ktiseos arsen kai thelu epoiesen autous o theos	Mar|10|6|

7. For this cause shall a man leave his father and mother, and cleave to his wife;	ενεκεν τουτου καταλειψει ανθρωπος τον πατερα αυτου και την μητερα και προσκολληθησεται προς την γυναικα αυτου	eneken toutou kataleipsei anthropos ton patera autou kai ten metera kai proskollethesetai pros ten gunaika autou	Mar|10|7|

8. And they twain shall be one flesh: so then they are no more twain, but one flesh.	και εσονται οι δυο εις σαρκα μιαν. ωστε ουκετι εισι δυο αλλα μια σαρξ	kai esontai oi duo eis sarka mian. oste ouketi eisi duo alla mia sarx	Mar|10|8|

9. What therefore God hath joined together, let not man put asunder.	ο ουν ο θεος συνεζευξεν ανθρωπος μη χωριζετω.	o oun o theos sunezeuxen anthropos me chorizeto.	Mar|10|9|

10. And in the house His disciples asked Him again of the same matter.	και εις την οικιαν παλιν οι μαθηται περι τουτου επηρωτων αυτον	kai eis ten oikian palin oi mathetai peri toutou eperoton auton	Mar|10|10|

11. And He saith unto them, Whosoever shall put away his wife, and marry another, committeth adultery against her.	και λεγει αυτοις ος αν απολυση την γυναικα αυτου και γαμηση αλλην μοιχαται επ αυτην	kai legei autois os an apoluse ten gunaika autou kai gamese allen moichatai ep auten	Mar|10|11|

12. And if a woman shall put away her husband, and be married to another, she committeth adultery.	και εαν γυνη απολυσασα τον ανδρα αυτης γαμθη αλλω μοιχαται.	kai ean gune apolusasa ton andra autes gamthe allo moichatai.	Mar|10|12|

13. And they brought young children to Him, that He should touch them: and His disciples rebuked those that brought them.	και προσεφερον αυτω παιδια ινα αψηται αυτων οι δε μαθηται επετιμων τοις προσφερουσιν.	kai prosepheron auto paidia ina apsetai auton oi de mathetai epetimon tois prospherousin.	Mar|10|13|

14. But when Jesus saw it, He was much displeased, and said unto them, Suffer the little children to come unto Me, and forbid them not: for of such is The kingdom of God.	ιδων δε ο ιησους ηγανακτησε και ειπεν αυτοις αφετε τα παιδια ερχεσθαι προς με και μη κωλυετε αυτα των γαρ τοιουτων εστιν η βασιλεια του θεου.	idon de o iesous eganaktese kai eipen autois aphete ta paidia erchesthai pros me kai me koluete auta ton gar toiouton estin e basileia tou theou.	Mar|10|14|

15.  [Amin AM.B->6] I say unto you, Whosoever shall not receive The Kingdom of God as a little child, he shall not enter therein.	αμην λεγω υμιν ος εαν μη δεξηται την βασιλειαν του θεου ως παιδιον ου μη εισελθη προς αυτην.	amen lego umin os ean me dexetai ten basileian tou theou os paidion ou me eiselthe pros auten.	Mar|10|15|

16. And He took them up in his arms, put His Hands upon them, and blessed them.	και εναγκαλισαμενος αυτα κατευλογει τιθεις τας χειρας επ αυτα.	kai enagkalisamenos auta kateulogei titheis tas cheiras ep auta.	Mar|10|16|

17. And when He was gone forth into the way, there came one running, and kneeled to Him, and asked Him, Good Teacher, what shall I do that I may inherit Life Eternal?	και εκπορευομενου αυτου εις οδον προσδραμων εις και γονυπετησας αυτον επηρωτα αυτον διδασκαλε αγαθε τι ποιησω ινα ζωην αιωνιον κληρονομησω	kai ekporeuomenou autou eis odon prosdramon eis kai gonupetesas auton eperota auton didaskale agathe ti poieso ina zoen aionion kleronomeso	Mar|10|17|

18. And Jesus said unto him, Why callest thou Me Good? there is none Good but One, that is, God.	ο δε ιησους ειπεν αυτω τι με λεγεις αγαθον ουδεις αγαθος ει μη εις ο θεος.	o de iesous eipen auto ti me legeis agathon oudeis agathos ei me eis o theos.	Mar|10|18|

19. Thou knowest the commandments, Do not commit adultery, Do not kill, Do not steal, Do not bear false witness, Defraud not, Honour thy father and mother.	τας εντολας οιδας μη μοιχευσης μη φονευσης μη κλεψης μη ψευδομαρτυρησης μη αποστερησης τιμα τον πατερα σου και την μητερα.	tas entolas oidas me moicheuses me phoneuses me klepses me pseudomartureses me apostereses tima ton patera sou kai ten metera.	Mar|10|19|

20. And he answered and said unto Him, Teacher, all these have I observed from my youth.	ο δε αποκριθεις ειπεν αυτω διδασκαλε ταυτα παντα εφυλαξαμην εκ νεοτητος μου.	o de apokritheis eipen auto didaskale tauta panta ephulaxamen ek neotetos mou.	Mar|10|20|

21. Then Jesus beholding him loved him, and said unto him, One thing thou lackest: go thy way, sell whatsoever thou hast, and give to the poor, and thou shalt have treasure in Heaven: and come, take up the cross, and follow Me.	ο δε ιησους εμβλεψας αυτω ηγαπησεν αυτον και ειπεν αυτω εν σε υστερει υπαγε οσα εχεις πωλησον και δος πτωχοις και εξεις θησαυρον εν ουρανω και δευρο ακολουθει μοι αρας τον σταυρον.	o de iesous emblepsas auto egapesen auton kai eipen auto en se usterei upage osa echeis poleson kai dos ptochois kai exeis thesauron en ourano kai deuro akolouthei moi aras ton stauron.	Mar|10|21|

22. And he was sad at that saying, and went away grieved: for he had great possessions.	ο δε στυγνασας επι τω λογω απηλθε λυπουμενος ην γαρ εχων κτηματα πολλα.	o de stugnasas epi to logo apelthe lupoumenos en gar echon ktemata polla.	Mar|10|22|

23. And Jesus looked round about, and saith unto His disciples, How hardly shall they that have riches enter into The Kingdom of God!	και περιβλεψαμενος ο ιησους λεγει τοις μαθηταις αυτου πως δυσκολως οι τα χρηματα εχοντες εις την βασιλειαν του θεου εισελευσονται.	kai periblepsamenos o iesous legei tois mathetais autou pos duskolos oi ta chremata echontes eis ten basileian tou theou eiseleusontai.	Mar|10|23|

24. And the disciples were astonished at His Words. But Jesus answereth again, and saith unto them, Children, how hard is it for them that trust in riches to enter into The Kingdom of God!	οι δε μαθηται εθαμβουντο επι τοις λογοις αυτου. ο δε ιησους παλιν αποκριθεις λεγει αυτοις τεκνα πως δυσκολον εστι τους πεποιθοτας επι χρημασιν εις την βασιλειαν του θεου εισελθειν.	oi de mathetai ethambounto epi tois logois autou. o de iesous palin apokritheis legei autois tekna pos duskolon esti tous pepoithotas epi chremasin eis ten basileian tou theou eiselthein.	Mar|10|24|

25. It is easier for a camel to go through the eye of a needle, than for a rich man to enter into The Kingdom of God.	ευκοπωτερον εστι καμηλον δια τρυμαλιας ραφιδος διελθειν η πλουσιον εις την βασιλειαν του θεου εισελθειν.	eukopoteron esti kamelon dia trumalias raphidos dielthein e plousion eis ten basileian tou theou eiselthein.	Mar|10|25|

26. And they were astonished out of measure, saying among themselves, Who then can be saved?	οι δε περισσως εξεπλησσοντο λεγοντες προς εαυτους και τις δυναται σωθηναι	oi de perissos exeplessonto legontes pros eautous kai tis dunatai sothenai	Mar|10|26|

27. And Jesus looking upon them saith, With men it is impossible, but not with God: for with God all things are possible.	εμβλεψας αυτοις ο ιησους λεγει παρα ανθρωποις αδυνατον αλλ ου παρα θεω παντα γαρ δυνατα εστι παρα τω θεω.	emblepsas autois o iesous legei para anthropois adunaton all ou para theo panta gar dunata esti para to theo.	Mar|10|27|

28. Then Peter began to say unto Him, Lo, we have left all, and have followed Thee.	ηρξατο ο πετρος λεγειν αυτω ιδου ημεις αφηκαμεν παντα και ηκολουθησαμεν σοι.	erxato o petros legein auto idou emeis aphekamen panta kai ekolouthesamen soi.	Mar|10|28|

29. And Jesus answered and said, [Amin AM.B->7] I say unto you, There is no man that hath left house, or brethren, or sisters, or father, or mother, or wife, or children, or lands, for My sake, and The Gospelís,	αποκριθεις δε ο ιησους ειπεν αμην λεγω υμιν ουδεις εστιν ος αφηκεν οικιαν η αδελφους η αδελφας η πατερα η μητερα η γυναικα η τεκνα η αγρους ενεκεν εμου και ενεκεν του ευαγγελιου	apokritheis de o iesous eipen amen lego umin oudeis estin os apheken oikian e adelphous e adelphas e patera e metera e gunaika e tekna e agrous eneken emou kai eneken tou euaggeliou	Mar|10|29|

30. But he shall receive an hundredfold now in this time, houses, and brethren, and sisters, and mothers, and children, and lands, with persecutions; and in the world to come Life Eternal.	εαν μη λαβη εκατονταπλασιονα νυν εν τω καιρω τουτω οικιας και αδελφους και αδελφας και μητερας και τεκνα και αγρους μετα διωγμων και εν τω αιωνι τω ερχομενω ζωην αιωνιον.	ean me labe ekatontaplasiona nun en to kairo touto oikias kai adelphous kai adelphas kai meteras kai tekna kai agrous meta diogmon kai en to aioni to erchomeno zoen aionion.	Mar|10|30|

31. But many that are first shall be last; and the last first.	πολλοι δε εσονται πρωτοι εσχατοι και οι εσχατοι πρωτοι.	polloi de esontai protoi eschatoi kai oi eschatoi protoi.	Mar|10|31|

32. And they were in the way going up to Jerusalem; and Jesus went before them: and they were amazed; and as they followed, they were afraid. And He took again the [twelve TW->15], and began to tell them what things should happen unto Him,	῏ησαν δε εν τη οδω αναβαινοντες εις ιεροσολυμα και ην προαγων αυτους ο ιησους και εθαμβουντο και ακολουθουντες εφοβουντο. και παραλαβων παλιν τους δωδεκα ηρξατο αυτοις λεγειν τα μελλοντα αυτω συμβαινειν	῏esan de en te odo anabainontes eis ierosoluma kai en proagon autous o iesous kai ethambounto kai akolouthountes ephobounto. kai paralabon palin tous dodeka erxato autois legein ta mellonta auto sumbainein	Mar|10|32|

33. Saying, Behold, we go up to Jerusalem; and The Son of man shall be delivered unto the chief priests, and unto the scribes; and they shall condemn Him to death, and shall deliver Him to the Gentiles:	οτι ιδου αναβαινομεν εις ιεροσολυμα και ο υιος του ανθρωπου παραδοθησεται τοις αρχιερευσι και τοις γραμματευσι και κατακρινουσιν αυτον θανατω και παραδωσουσιν αυτον τοις εθνεσι	oti idou anabainomen eis ierosoluma kai o uios tou anthropou paradothesetai tois archiereusi kai tois grammateusi kai katakrinousin auton thanato kai paradosousin auton tois ethnesi	Mar|10|33|

34. And they shall mock Him, and shall scourge Him, and shall spit upon Him, and shall kill Him: and the third day He shall Rise again.	και εμπαιξουσιν αυτω και μαστιγωσουσιν αυτον και εμπτυσουσιν αυτω και αποκτενουσιν αυτον και τη τριτη ημερα αναστησεται.	kai empaixousin auto kai mastigosousin auton kai emptusousin auto kai apoktenousin auton kai te trite emera anastesetai.	Mar|10|34|

35. And James and John, the sons of Zebedee, come unto Him, saying, Teacher, we would that Thou shouldest do for us whatsoever we shall desire.	και προσπορευονται αυτω ιακωβος και ιωαννης οι υιοι ζεβεδαιου λεγοντες διδασκαλε θελομεν ινα ο εαν αιτησωμεν ποιησης ημιν.	kai prosporeuontai auto iakobos kai ioannes oi uioi zebedaiou legontes didaskale thelomen ina o ean aitesomen poieses emin.	Mar|10|35|

36. And He said unto them, What would ye that I should do for you?	ο δε ειπεν αυτοις τι θελετε ποιησαι με υμιν	o de eipen autois ti thelete poiesai me umin	Mar|10|36|

37. They said unto Him, Grant unto us that we may sit, one on Thy right, and the other on Thy left, in Thy Glory.	οι δε ειπον αυτω δος ημιν ινα εις εκ δεξιων σου και εις εξ ευωνυμων σου καθισωμεν εν τη δοξη σου.	oi de eipon auto dos emin ina eis ek dexion sou kai eis ex euonumon sou kathisomen en te doxe sou.	Mar|10|37|

38. But Jesus said unto them, Ye know not what ye ask: are ye able to drink of the cup that I drink of? and be baptized with the baptism that I am baptized with?	ο δε ιησους ειπεν αυτοις ουκ οιδατε τι αιτεισθε. δυνασθε πιειν το ποτηριον ο εγω πινω και το βαπτισμα ο εγω βαπτιζομαι βαπτισθηναι	o de iesous eipen autois ouk oidate ti aiteisthe. dunasthe piein to poterion o ego pino kai to baptisma o ego baptizomai baptisthenai	Mar|10|38|

39. And they said unto Him, We are able. And Jesus said unto them, Ye shall indeed drink of the cup that I drink of; and with the baptism that I am baptized withal shall ye be baptized:	οι δε ειπον αυτω δυναμεθα. ο δε ιησους ειπεν αυτοις το μεν ποτηριον ο εγω πινω πιεσθε και το βαπτισμα ο εγω βαπτιζομαι βαπτισθησεσθε	oi de eipon auto dunametha. o de iesous eipen autois to men poterion o ego pino piesthe kai to baptisma o ego baptizomai baptisthesesthe	Mar|10|39|

40. But to sit on My right and on My left is not Mine to give; but it shall be given to them for whom it is prepared.	το δε καθισαι εκ δεξιων μου και εξ ευωνυμων ουκ εστιν εμον δουναι αλλ οις ητοιμασται.	to de kathisai ek dexion mou kai ex euonumon ouk estin emon dounai all ois etoimastai.	Mar|10|40|

41. And when the ten heard it, they began to be much displeased with James and John.	και ακουσαντες οι δεκα ηρξαντο αγανακτειν περι ιακωβου και ιωαννου.	kai akousantes oi deka erxanto aganaktein peri iakobou kai ioannou.	Mar|10|41|

42. But Jesus called them to Him, and saith unto them, Ye know that they which are accounted to rule over the Gentiles exercise lordship over them; and their great ones exercise authority upon them.	ο δε ιησους προσκαλεσαμενος αυτους λεγει αυτοις οιδατε οτι οι δοκουντες αρχειν των εθνων κατακυριευουσιν αυτων και οι μεγαλοι αυτων κατεξουσιαζουσιν αυτων	o de iesous proskalesamenos autous legei autois oidate oti oi dokountes archein ton ethnon katakurieuousin auton kai oi megaloi auton katexousiazousin auton	Mar|10|42|

43. But so shall it not be among you: but whosoever will be great among you, shall be your minister:	ουχ ουτω δε εσται εν υμιν αλλ ος εαν θελη γενεσθαι μεγας εν υμιν εσται υμων διακονος	ouch outo de estai en umin all os ean thele genesthai megas en umin estai umon diakonos	Mar|10|43|

44. And whosoever of you will be the chiefest, shall be servant of all.	και ος αν θελη υμων γενεσθαι πρωτος εσται παντων δουλος	kai os an thele umon genesthai protos estai panton doulos	Mar|10|44|

45. For even The Son of man came not to be ministered unto, but to minister, and to give His Life a ransom for many.	και γαρ ο υιος του ανθρωπου ουκ ηλθε διακονηθηναι αλλα διακονησαι και δουναι την ψυχην αυτου λυτρον αντι πολλων.	kai gar o uios tou anthropou ouk elthe diakonethenai alla diakonesai kai dounai ten psuchen autou lutron anti pollon.	Mar|10|45|

46. And they came to Jericho: and as He went out of Jericho with His disciples and a great number of people, blind Bartimaeus, the son of Timaeus, sat by the highway side begging.	και ερχονται εις ιεριχω. και εκπορευομενου αυτου απο ιεριχω και των μαθητων αυτου και οχλου ικανου ο υιος τιμαιου βαρτιμαιος τυφλος εκαθητο παρα την οδον προσαιτων.	kai erchontai eis iericho. kai ekporeuomenou autou apo iericho kai ton matheton autou kai ochlou ikanou o uios timaiou bartimaios tuphlos ekatheto para ten odon prosaiton.	Mar|10|46|

47. And when he heard that it was Jesus of Nazareth, he began to cry out, and say, Jesus, Thou Son of [David DV->20], have mercy on me.	και ακουσας οτι ιησους ο ναζαραιος εστιν ηρξατο κραζειν και λεγειν υιε δαυιδ ιησου ελεησον με.	kai akousas oti iesous o nazaraios estin erxato krazein kai legein uie dauid iesou eleeson me.	Mar|10|47|

48. And many charged him that he should hold his peace: but he cried the more a great deal, Thou Son of [David DV->21], have mercy on me.	και επετιμων αυτω πολλοι ινα σιωπηση ο δε πολλω μαλλον εκραζεν υιε δαυιδ ελεησον με.	kai epetimon auto polloi ina siopese o de pollo mallon ekrazen uie dauid eleeson me.	Mar|10|48|

49. And Jesus stood still, and commanded him to be called. And they call the blind man, saying unto Him, Be of good comfort, rise; He calleth thee.	και στας ο ιησους ειπε φωνησατε αυτον και φωνουσι τον τυφλον λεγοντες αυτω θαρσει εγειρε φωνει σε.	kai stas o iesous eipe phonesate auton kai phonousi ton tuphlon legontes auto tharsei egeire phonei se.	Mar|10|49|

50. And he, casting away his garment, rose, and came to Jesus.	ο δε αποβαλων το ιματιον αυτου αναστας ηλθε προς τον ιησουν.	o de apobalon to imation autou anastas elthe pros ton iesoun.	Mar|10|50|

51. And Jesus answered and said unto him, What wilt thou that I should do unto thee? The blind man said unto Him, Rabbouni, that I might receive my sight.	και αποκριθεις λεγει αυτω ο ιησους τι σοι θελεις ποιησω ο δε τυφλος ειπεν αυτω ραββουνι ινα αναβλεψω.	kai apokritheis legei auto o iesous ti soi theleis poieso o de tuphlos eipen auto rabbouni ina anablepso.	Mar|10|51|

52. And Jesus said unto him, Go thy way; thy faith hath made thee whole. And immediately he received his sight, and followed Jesus in The Way.	και ο ιησους ειπεν αυτω υπαγε η πιστις σου σεσωκε σε. και ευθεως ανεβλεψε και ηκολουθει τω ιησου εν τη οδω.	kai o iesous eipen auto upage e pistis sou sesoke se. kai eutheos aneblepse kai ekolouthei to iesou en te odo.	Mar|10|52|

1. And when they came nigh to Jerusalem, unto Bethphage and Bethany, at the mount of Olives, He sendeth forth two of His disciples,	και οτε εγγιζουσιν εις ιερουσαλημ εις βηθφαγη και βηθανιαν προς το ορος των ελαιων αποστελλει δυο των μαθητων αυτου	kai ote eggizousin eis ierousalem eis bethphage kai bethanian pros to oros ton elaion apostellei duo ton matheton autou	Mar|11|1|

2. And saith unto them, Go your way into the village over against you: and as soon as ye be entered into it, ye shall find a colt tied, whereon never man sat; loose him, and bring him.	και λεγει αυτοις υπαγετε εις την κωμην την κατεναντι υμων και ευθεως εισπορευομενοι εις αυτην ευρησετε πωλον δεδεμενον εφ ον ουδεις ανθρωπων κεκαθικε λυσαντες αυτον αγαγετε.	kai legei autois upagete eis ten komen ten katenanti umon kai eutheos eisporeuomenoi eis auten euresete polon dedemenon eph on oudeis anthropon kekathike lusantes auton agagete.	Mar|11|2|

3. And if any man say unto you, Why do ye this? say ye that The Lord hath need of him; and straightway he will send him hither.	και εαν τις υμιν ειπη τι ποιειτε τουτο ειπατε οτι ο κυριος αυτου χρειαν εχει και ευθεως αυτον αποστελλει παλιν ωδε.	kai ean tis umin eipe ti poieite touto eipate oti o kurios autou chreian echei kai eutheos auton apostellei palin ode.	Mar|11|3|

4. And they went their way, and found the colt tied by the door without in a place where two ways met; and they loose him.	απηλθον δε και ευρον τον πωλον δεδεμενον προς την θυραν εξω επι του αμφοδου και λυουσιν αυτον.	apelthon de kai euron ton polon dedemenon pros ten thuran exo epi tou amphodou kai luousin auton.	Mar|11|4|

5. And certain of them that stood there said unto them, What do ye, loosing the colt?	και τινες των εκει εστηκοτων ελεγον αυτοις τι ποιειτε λυοντες τον πωλον	kai tines ton ekei estekoton elegon autois ti poieite luontes ton polon	Mar|11|5|

6. And they said unto them even as Jesus had commanded: and they let them go.	οι δε ειπον αυτοις καθως ενετειλατο ο ιησους και αφηκαν αυτους.	oi de eipon autois kathos eneteilato o iesous kai aphekan autous.	Mar|11|6|

7. And they brought the colt to Jesus, and cast their garments on him; and He sat upon him.	και ηγαγον τον πωλον προς τον ιησουν και επεβαλον αυτω τα ιματια αυτων και εκαθισεν επ αυτω.	kai egagon ton polon pros ton iesoun kai epebalon auto ta imatia auton kai ekathisen ep auto.	Mar|11|7|

8. And many spread their garments in the way: and others cut down branches off the trees, and strawed them in the way.	πολλοι δε τα ιματια αυτων εστρωσαν εις την οδον αλλοι δε στιβαδας εκοπτον εκ των δενδρων και εστρωννυον εις την οδον.	polloi de ta imatia auton estrosan eis ten odon alloi de stibadas ekopton ek ton dendron kai estronnuon eis ten odon.	Mar|11|8|

9. And they that went before, and they that followed, cried, saying, Hosanna; Blessed is He that cometh in The [Name NM.A->23] of The Lord:	και οι προαγοντες και οι ακολουθουντες εκραζον λεγοντες ωσαννα ευλογημενος ο ερχομενος εν ονοματι κυριου.	kai oi proagontes kai oi akolouthountes ekrazon legontes osanna eulogemenos o erchomenos en onomati kuriou.	Mar|11|9|

10. Blessed be The Kingdom of our father [David DV->22], that cometh in The [Name NM.A->24] of the Lord: Hosanna in the highest.	ευλογημενη η ερχομενη βασιλεια εν ονοματι κυριου του πατρος ημων δαυιδ ωσαννα εν τοις υψιστοις.	eulogemene e erchomene basileia en onomati kuriou tou patros emon dauid osanna en tois upsistois.	Mar|11|10|

11. And Jesus entered into Jerusalem, and into The Temple: and when He had looked round about upon all things, and now the eventide was come, He went out unto Bethany with the [twelve TW->16].	και εισηλθεν εις ιεροσολυμα ο ιησους και εις το ιερον και περιβλεψαμενος παντα οψιας ηδη ουσης της ωρας εξηλθεν εις βηθανιαν μετα των δωδεκα.	kai eiselthen eis ierosoluma o iesous kai eis to ieron kai periblepsamenos panta opsias ede ouses tes oras exelthen eis bethanian meta ton dodeka.	Mar|11|11|

12. And on the morrow, when they were come from Bethany, He was hungry:	και τη επαυριον εξελθοντων αυτων απο βηθανιας επεινασε.	kai te epaurion exelthonton auton apo bethanias epeinase.	Mar|11|12|

13. And seeing a fig tree afar off having leaves, He came, if haply He might find any thing thereon: and when He came to it, He found nothing but leaves; for the time of figs was not yet.	και ιδων συκην απο μακροθεν εχουσαν φυλλα ηλθεν ει αρα τι ευρησει εν αυτη και ελθων επ αυτην ουδεν ευρεν ει μη φυλλα ου γαρ ην καιρος συκων.	kai idon suken apo makrothen echousan phulla elthen ei ara ti euresei en aute kai elthon ep auten ouden euren ei me phulla ou gar en kairos sukon.	Mar|11|13|

14. And Jesus answered and said unto it, No man eat fruit of thee hereafter for ever. And His disciples heard it.	και αποκριθεις ειπεν αυτη μηκετι εκ σου εις τον αιωνα μηδεις καρπον φαγοι. και ηκουον οι μαθηται αυτου.	kai apokritheis eipen aute meketi ek sou eis ton aiona medeis karpon phagoi. kai ekouon oi mathetai autou.	Mar|11|14|

15. And they come to Jerusalem: and Jesus went into The Temple, and began to cast out them that sold and bought in The Temple, and overthrew the tables of the moneychangers, and the seats of them that sold doves;	και ερχονται εις ιεροσολυμα και εισελθων ο ιησους εις το ιερον ηρξατο εκβαλλειν τους πωλουντας και τους αγοραζοντας εν τω ιερω και τας τραπεζας των κολλυβιστων και τας καθεδρας των πωλουντων τας περιστερας κατεστρεψε	kai erchontai eis ierosoluma kai eiselthon o iesous eis to ieron erxato ekballein tous polountas kai tous agorazontas en to iero kai tas trapezas ton kollubiston kai tas kathedras ton polounton tas peristeras katestrepse	Mar|11|15|

16. And would not suffer that any man should carry any vessel through The Temple.	και ουκ ηφιεν ινα τις διενεγκη σκευος δια του ιερου	kai ouk ephien ina tis dienegke skeuos dia tou ierou	Mar|11|16|

17. And He taught, saying unto them, Is it not written, My House shall be called of all nations The House of prayer? but ye have made it a den of thieves.	και εδιδασκε λεγων αυτοις ου γεγραπται οτι ο οικος μου οικος προσευχης κληθησεται πασι τοις εθνεσιν υμεις δε εποιησατε αυτον σπηλαιον ληστων.	kai edidaske legon autois ou gegraptai oti o oikos mou oikos proseuches klethesetai pasi tois ethnesin umeis de epoiesate auton spelaion leston.	Mar|11|17|

18. And the scribes and chief priests heard it, and sought how they might destroy Him: for they feared Him, because all the people was astonished at His teaching.	και ηκουσαν οι γραμματεις και οι αρχιερεις και εζητουν πως αυτον απολεσωσιν εφοβουντο γαρ αυτον οτι πας ο οχλος εξεπλησσετο επι τη διδαχη αυτου.	kai ekousan oi grammateis kai oi archiereis kai ezetoun pos auton apolesosin ephobounto gar auton oti pas o ochlos exeplesseto epi te didache autou.	Mar|11|18|

19. And when even was come, He went out of the city.	και οτε οψε εγενετο εξεπορευετο εξω της πολεως.	kai ote opse egeneto exeporeueto exo tes poleos.	Mar|11|19|

20. And in the morning, as they passed by, they saw the fig tree dried up from the roots.	και παραπορευομενοι πρωι ειδον την συκην εξηραμμενην εκ ριζων.	kai paraporeuomenoi proi eidon ten suken exerammenen ek rizon.	Mar|11|20|

21. And Peter calling to remembrance saith unto Him, Rabbi, behold, the fig tree which thou cursedst is withered away.	και αναμνησθεις ο πετρος λεγει αυτω ραββι ιδε η συκη ην κατηρασω εξηρανται.	kai anamnestheis o petros legei auto rabbi ide e suke en kateraso exerantai.	Mar|11|21|

22. And Jesus answering saith unto them, Have faith in God.	και αποκριθεις ο ιησους λεγει αυτοις εχετε πιστιν θεου.	kai apokritheis o iesous legei autois echete pistin theou.	Mar|11|22|

23. [Amin AM.B->8] I say unto you, That whosoever shall say unto this mountain, Be thou removed, and be thou cast into the sea; and shall not doubt in his heart, but shall believe that those things which he saith shall come to pass; he shall have whatsoever he saith.	αμην γαρ λεγω υμιν οτι ος αν ειπη τω ορει τουτω αρθητι και βληθητι εις την θαλασσαν και μη διακριθη εν τη καρδια αυτου αλλα πιστευση οτι α λεγει γινεται εσται αυτω ο εαν ειπη.	amen gar lego umin oti os an eipe to orei touto artheti kai bletheti eis ten thalassan kai me diakrithe en te kardia autou alla pisteuse oti a legei ginetai estai auto o ean eipe.	Mar|11|23|

24. Therefore I say unto you, What things soever ye desire, when ye pray, believe that ye receive them, and ye shall have them.	δια τουτο λεγω υμιν παντα οσα προσευχομενοι αιτεισθε πιστευετε οτι λαμβανετε και εσται υμιν.	dia touto lego umin panta osa proseuchomenoi aiteisthe pisteuete oti lambanete kai estai umin.	Mar|11|24|

25. And when ye stand praying, forgive, if ye have ought against any: that your Father also which is in Heaven may forgive you your trespasses.	και οταν στηκετε προσευχομενοι αφιετε ει τι εχετε κατα τινος ινα και ο πατηρ υμων ο εν τοις ουρανοις αφη υμιν τα παραπτωματα υμων.	kai otan stekete proseuchomenoi aphiete ei ti echete kata tinos ina kai o pater umon o en tois ouranois aphe umin ta paraptomata umon.	Mar|11|25|

26. But if ye do not forgive, neither will your Father which is in The Heavens forgive your trespasses.	ει δε υμεις ουκ αφιετε ουδε ο πατηρ υμων ο εν τοις ουρανοις αφησει τα παραπτωματα υμων.	ei de umeis ouk aphiete oude o pater umon o en tois ouranois aphesei ta paraptomata umon.	Mar|11|26|

27. And they come again to Jerusalem: and as He was walking in The Temple, there come to Him the chief priests, and the scribes, and the elders,	και ερχονται παλιν εις ιεροσολυμα και εν τω ιερω περιπατουντος αυτου ερχονται προς αυτον οι αρχιερεις και οι γραμματεις και οι πρεσβυτεροι	kai erchontai palin eis ierosoluma kai en to iero peripatountos autou erchontai pros auton oi archiereis kai oi grammateis kai oi presbuteroi	Mar|11|27|

28. And say unto Him, By what authority doest thou these things? and who gave Thee this authority to do these things?	και λεγουσιν αυτω εν ποια εξουσια ταυτα ποιεις η τις σοι την εξουσιαν ταυτην εδωκεν ινα ταυτα ποιης	kai legousin auto en poia exousia tauta poieis e tis soi ten exousian tauten edoken ina tauta poies	Mar|11|28|

29. And Jesus answered and said unto them, I will also ask of you one question, and answer me, and I will tell you by what authority I do these things.	ο δε ιησους αποκριθεις ειπεν αυτοις επερωτησω υμας καγω ενα λογον και αποκριθητε μοι και ερω υμιν εν ποια εξουσια ταυτα ποιω	o de iesous apokritheis eipen autois eperoteso umas kago ena logon kai apokrithete moi kai ero umin en poia exousia tauta poio	Mar|11|29|

30. The baptism of John, was it from Heaven, or of men? answer Me.	το βαπτισμα ιωαννου εξ ουρανου ην η εξ ανθρωπων αποκριθητε μοι.	to baptisma ioannou ex ouranou en e ex anthropon apokrithete moi.	Mar|11|30|

31. And they reasoned with themselves, saying, If we shall say, From Heaven; He will say, Why then did ye not believe him?	και ελογιζοντο προς εαυτους λεγοντες εαν ειπωμεν εξ ουρανου ερει διατι ουν ουκ επιστευσατε αυτω	kai elogizonto pros eautous legontes ean eipomen ex ouranou erei diati oun ouk episteusate auto	Mar|11|31|

