1. Forasmuch as many have taken in hand to set forth in order a declaration of those things which are most surely believed among us,	επειδηπερ πολλοι επεχειρησαν αναταξασθαι διηγησιν περι των πεπληροφορημενων εν ημιν πραγματων	epeideper polloi epecheiresan anataxasthai diegesin peri ton peplerophoremenon en emin pragmaton	Luk|1|1|

38. And, behold, a man of the company cried out, saying, Teacher, I beseech Thee, look upon my son: for he is mine only child.	και ιδου ανηρ απο του οχλου ανεβοησε λεγων διδασκαλε δεομαι σου επιβλεψον επι τον υιον μου οτι μονογενης μοι εστι	kai idou aner apo tou ochlou aneboese legon didaskale deomai sou epiblepson epi ton uion mou oti monogenes moi esti	Luk|9|38|

39. And, lo, a spirit taketh him, and he suddenly crieth out; and it teareth him that he foameth again, and bruising him hardly departeth from him.	και ιδου πνευμα λαμβανει αυτον και εξαιφνης κραζει και σπαρασσει αυτον μετα αφρου και μογις αποχωρει απ αυτου συντριβον αυτον	kai idou pneuma lambanei auton kai exaiphnes krazei kai sparassei auton meta aphrou kai mogis apochorei ap autou suntribon auton	Luk|9|39|

40. And I besought Thy disciples to cast him out; and they could not.	και εδεηθην των μαθητων σου ινα εκβαλωσιν αυτο και ουκ ηδυνηθησαν.	kai edeethen ton matheton sou ina ekbalosin auto kai ouk edunethesan.	Luk|9|40|

41. And Jesus answering said, O faithless and perverse generation, how long shall I be with you, and suffer you? Bring thy son hither.	αποκριθεις δε ο ιησους ειπεν ω γενεα απιστος και διεστραμμενη εως ποτε εσομαι προς υμας και ανεξομαι υμων προσαγαγε ωδε τον υιον σου.	apokritheis de o iesous eipen o genea apistos kai diestrammene eos pote esomai pros umas kai anexomai umon prosagage ode ton uion sou.	Luk|9|41|

42. And as he was yet a coming, the devil threw him down, and tare him. And Jesus rebuked the unclean spirit, and healed the child, and delivered him again to his father.	ετι δε προσερχομενου αυτου ερρηξεν αυτον το δαιμονιον και συνεσπαραξεν επετιμησε δε ο ιησους τω πνευματι τω ακαθαρτω και ιασατο τον παιδα και απεδωκεν αυτον τω πατρι αυτου.	eti de proserchomenou autou errexen auton to daimonion kai sunesparaxen epetimese de o iesous to pneumati to akatharto kai iasato ton paida kai apedoken auton to patri autou.	Luk|9|42|

43. And they were all amazed at the mighty power of God. But while they wondered every one at all things which Jesus did, He said unto His disciples,	εξεπλησσοντο δε παντες επι τη μεγαλειοτητι του θεου. παντων δε θαυμαζοντων επι πασιν οις εποιησεν ο ιησους ειπε προς τους μαθητας αυτου	exeplessonto de pantes epi te megaleioteti tou theou. panton de thaumazonton epi pasin ois epoiesen o iesous eipe pros tous mathetas autou	Luk|9|43|

44. Let these sayings sink down into your ears: for The Son of man shall be delivered into the hands of men.	θεσθε υμεις εις τα ωτα υμων τους λογους τουτους ο γαρ υιος του ανθρωπου μελλει παραδιδοσθαι εις χειρας ανθρωπων.	thesthe umeis eis ta ota umon tous logous toutous o gar uios tou anthropou mellei paradidosthai eis cheiras anthropon.	Luk|9|44|

45. But they understood not this saying, and it was hid from them, that they perceived it not: and they feared to ask Him of that saying.	οι δε ηγνοουν το ρημα τουτο και ην παρακεκαλυμμενον απ αυτων ινα μη αισθωνται αυτο και εφοβουντο ερωτησαι αυτον περι του ρηματος τουτου.	oi de egnooun to rema touto kai en parakekalummenon ap auton ina me aisthontai auto kai ephobounto erotesai auton peri tou rematos toutou.	Luk|9|45|

46. Then there arose a reasoning among them, which of them should be greatest.	εισηλθε δε διαλογισμος εν αυτοις το τις αν ειη μειζων αυτων.	eiselthe de dialogismos en autois to tis an eie meizon auton.	Luk|9|46|

47. And Jesus, perceiving the thought of their heart, took a child, and set him by Him,	ο δε ιησους ιδων τον διαλογισμον της καρδιας αυτων επιλαβομενος παιδιου εστησεν αυτο παρ εαυτω	o de iesous idon ton dialogismon tes kardias auton epilabomenos paidiou estesen auto par eauto	Luk|9|47|

48. And said unto them, Whosoever shall receive this child in My [Name NM.A->31 NM.C->3 NM.D->19] receiveth Me: and whosoever shall receive Me receiveth Him that sent Me: for he that is least among you all, the same shall be great.	και ειπεν αυτοις ος εαν δεξηται τουτο το παιδιον επι τω ονοματι μου εμε δεχεται και ος εαν εμε δεξηται δεχεται τον αποστειλαντα με. ο γαρ μικροτερος εν πασιν υμιν υπαρχων ουτος εστιν μεγας.	kai eipen autois os ean dexetai touto to paidion epi to onomati mou eme dechetai kai os ean eme dexetai dechetai ton aposteilanta me. o gar mikroteros en pasin umin uparchon outos estin megas.	Luk|9|48|

49. And John answered and said, [Master LM->16], we saw one casting out devils in Thy [Name NM.A->32 NM.C->4]; and we forbad him, because he followeth not with us.	αποκριθεις δε ο ιωαννης ειπεν επιστατα ειδομεν τινα επι τω ονοματι σου εκβαλλοντα δαιμονια και εκωλυσαμεν αυτον οτι ουκ ακολουθει μεθ ημων.	apokritheis de o ioannes eipen epistata eidomen tina epi to onomati sou ekballonta daimonia kai ekolusamen auton oti ouk akolouthei meth emon.	Luk|9|49|

50. And Jesus said unto him, Forbid him not: for he that is not against us is for us.	και ειπε προς αυτον ο ιησους μη κωλυετε ος γαρ ουκ εστιν καθ υμων υπερ υμων εστιν.	kai eipe pros auton o iesous me koluete os gar ouk estin kath umon uper umon estin.	Luk|9|50|

51. And it came to pass, when the time was come that He should be received up, He stedfastly set His Face to go to Jerusalem,	εγενετο δε εν τω συμπληρουσθαι τας ημερας της αναληψεως αυτου και αυτος το προσωπον αυτου εστηριξε του πορευεσθαι εις ιερουσαλημ.	egeneto de en to sumplerousthai tas emeras tes analepseos autou kai autos to prosopon autou esterixe tou poreuesthai eis ierousalem.	Luk|9|51|

52. And sent messengers before His Face: and they went, and entered into a village of the Samaritans, to make ready for Him.	και απεστειλεν αγγελους προ προσωπου αυτου. και πορευθεντες εισηλθον εις κωμην σαμαριτων ωστε ετοιμασαι αυτω	kai apesteilen aggelous pro prosopou autou. kai poreuthentes eiselthon eis komen samariton oste etoimasai auto	Luk|9|52|

53. And they did not receive Him, because His Face was as though He would go to Jerusalem.	και ουκ εδεξαντο αυτον οτι το προσωπον αυτου ην πορευομενον εις ιερουσαλημ.	kai ouk edexanto auton oti to prosopon autou en poreuomenon eis ierousalem.	Luk|9|53|

54. And when His disciples James and John saw this, they said, [Lord LM->17 LR.D->11], Wilt Thou that we command fire to come down from Heaven, and consume them, even as Elijah did?	ιδοντες δε οι μαθηται αυτου ιακωβος και ιωαννης ειπον κυριε θελεις ειπωμεν πυρ καταβηναι απο του ουρανου και αναλωσαι αυτους ως και ηλιας εποιησε	idontes de oi mathetai autou iakobos kai ioannes eipon kurie theleis eipomen pur katabenai apo tou ouranou kai analosai autous os kai elias epoiese	Luk|9|54|

55. But He turned, and rebuked them, and said, Ye know not what manner of spirit ye are of.	στραφεις δε επετιμησεν αυτοις και ειπεν ουκ οιδατε οιου πνευματος εστε υμεις	strapheis de epetimesen autois kai eipen ouk oidate oiou pneumatos este umeis	Luk|9|55|

56. For The Son of man is not come to destroy menís lives, but to save them. And they went to another village.	ο υιος του ανθρωπου ουκ ηλθε ψυχας ανθρωπων απολεσαι αλλα σωσαι. και επορευθησαν εις ετεραν κωμην.	o uios tou anthropou ouk elthe psuchas anthropon apolesai alla sosai. kai eporeuthesan eis eteran komen.	Luk|9|56|

57. And it came to pass, that, as they went in the way, a certain man said unto Him, [Lord LR.B->16], I will follow Thee whithersoever Thou goest.	εγενετο δε πορευομενων αυτων εν τη οδω ειπε τις προς αυτον ακολουθησω σοι οπου εαν απερχη κυριε.	egeneto de poreuomenon auton en te odo eipe tis pros auton akoloutheso soi opou ean aperche kurie.	Luk|9|57|

58. And Jesus said unto him, Foxes have holes, and birds of the air have nests; but The Son of man hath not where to lay His Head.	και ειπεν αυτω ο ιησους αι αλωπεκες φωλεους εχουσι και τα πετεινα του ουρανου κατασκηνωσεις ο δε υιος του ανθρωπου ουκ εχει που την κεφαλην κλινη	kai eipen auto o iesous ai alopekes pholeous echousi kai ta peteina tou ouranou kataskenoseis o de uios tou anthropou ouk echei pou ten kephalen kline	Luk|9|58|

59. And He said unto another, Follow Me. But he said, [Lord LR.B->17], suffer me first to go and bury my father.	ειπε δε προς ετερον ακολουθει μοι. ο δε ειπε κυριε επιτρεψον μοι απελθοντι πρωτον θαψαι τον πατερα μου.	eipe de pros eteron akolouthei moi. o de eipe kurie epitrepson moi apelthonti proton thapsai ton patera mou.	Luk|9|59|

60. Jesus said unto him, Let the dead bury their dead: but go thou and preach The Kingdom of God.	ειπε δε αυτω ο ιησους αφες τους νεκρους θαψαι τους εαυτων νεκρους συ δε απελθων διαγγελλε την βασιλειαν του θεου.	eipe de auto o iesous aphes tous nekrous thapsai tous eauton nekrous su de apelthon diaggelle ten basileian tou theou.	Luk|9|60|

61. And another also said, [Lord LR.B->18], I will follow Thee; but let me first go bid them farewell, which are at home at my house.	ειπε δε και ετερος ακολουθησω σοι κυριε πρωτον δε επιτρεψον μοι αποταξασθαι τοις εις τον οικον μου.	eipe de kai eteros akoloutheso soi kurie proton de epitrepson moi apotaxasthai tois eis ton oikon mou.	Luk|9|61|

62. And Jesus said unto him, No man, having put his hand to the plough, and looking back, is fit for The kingdom of God.	ειπε δε προς αυτον ο ιησους ουδεις επιβαλων την χειρα αυτου επ αροτρον και βλεπων εις τα οπισω ευθετος εστιν εις την βασιλειαν του θεου.	eipe de pros auton o iesous oudeis epibalon ten cheira autou ep arotron kai blepon eis ta opiso euthetos estin eis ten basileian tou theou.	Luk|9|62|

1. After these things The [Lord LR.C->22] appointed other seventy also, and sent them two and two before His Face into every city and place, whither He Himself would come.	μετα δε ταυτα ανεδειξεν ο κυριος και ετερους εβδομηκοντα και απεστειλεν αυτους ανα δυο προ προσωπου αυτου εις πασαν πολιν και τοπον ου ημελλεν αυτος ερχεσθαι.	meta de tauta anedeixen o kurios kai eterous ebdomekonta kai apesteilen autous ana duo pro prosopou autou eis pasan polin kai topon ou emellen autos erchesthai.	Luk|10|1|

2. Therefore said He unto them, The harvest truly is great, but the labourers are few: pray ye therefore The Lord of the harvest, that He would send forth labourers into His harvest.	ελεγεν ουν προς αυτους ο μεν θερισμος πολυς οι δε εργαται ολιγοι δεηθητε ουν του κυριου του θερισμου οπως εκβαλη εργατας εις τον θερισμον αυτου.	elegen oun pros autous o men therismos polus oi de ergatai oligoi deethete oun tou kuriou tou therismou opos ekbale ergatas eis ton therismon autou.	Luk|10|2|

3. Go your ways: behold, I send you forth as lambs among wolves.	υπαγετε ιδου εγω αποστελλω υμας ως αρνας εν μεσω λυκων.	upagete idou ego apostello umas os arnas en meso lukon.	Luk|10|3|

4. Carry neither purse, nor scrip, nor shoes: and salute no man by the way.	μη βασταζετε βαλλαντιον μη πηραν μηδε υποδηματα και μηδενα κατα την οδον ασπασησθε.	me bastazete ballantion me peran mede upodemata kai medena kata ten odon aspasesthe.	Luk|10|4|

5. And into whatsoever house ye enter, first say, Peace be to this house.	εις ην δ αν οικιαν εισερχησθε πρωτον λεγετε ειρηνη τω οικω τουτω.	eis en d an oikian eiserchesthe proton legete eirene to oiko touto.	Luk|10|5|

6. And if The Son of Peace be there, your peace shall rest upon it: if not, it shall turn to you again.	και εαν η εκει υιος ειρηνης επαναπαυσεται επ αυτον η ειρηνη υμων ει δε μηγε εφ υμας ανακαμψει.	kai ean e ekei uios eirenes epanapausetai ep auton e eirene umon ei de mege eph umas anakampsei.	Luk|10|6|

7. And in the same house remain, eating and drinking such things as they give: for the labourer is worthy of his hire. Go not from house to house.	εν αυτη δε τη οικια μενετε εσθιοντες και πινοντες τα παρ αυτων αξιος γαρ ο εργατης του μισθου αυτου εστι μη μεταβαινετε εξ οικιας εις οικιαν.	en aute de te oikia menete esthiontes kai pinontes ta par auton axios gar o ergates tou misthou autou esti me metabainete ex oikias eis oikian.	Luk|10|7|

8. And into whatsoever city ye enter, and they receive you, eat such things as are set before you:	και εις ην αν πολιν εισερχησθε και δεχωνται υμας εσθιετε τα παρατιθεμενα υμιν	kai eis en an polin eiserchesthe kai dechontai umas esthiete ta paratithemena umin	Luk|10|8|

9. And heal the sick that are therein, and say unto them, The Kingdom of God is come nigh unto you.	και θεραπευετε τους εν αυτη ασθενεις και λεγετε αυτοις ηγγικεν εφ υμας η βασιλεια του θεου.	kai therapeuete tous en aute astheneis kai legete autois eggiken eph umas e basileia tou theou.	Luk|10|9|

10. But into whatsoever city ye enter, and they receive you not, go your ways out into the streets of the same, and say,	εις ην δ αν πολιν εισελθητε και μη δεχωνται υμας εξελθοντες εις τας πλατειας αυτης ειπατε	eis en d an polin eiselthete kai me dechontai umas exelthontes eis tas plateias autes eipate	Luk|10|10|

11. Even the very dust of your city, which cleaveth on us, we do wipe off against you: notwithstanding be ye sure of this, that The Kingdom of God is come nigh unto you.	και τον κονιορτον τον κολληθεντα ημιν εκ της πολεως υμων απομασσομεθα υμιν πλην τουτο γινωσκετε οτι ηγγικεν εφ υμας η βασιλεια του θεου.	kai ton koniorton ton kollethenta emin ek tes poleos umon apomassometha umin plen touto ginoskete oti eggiken eph umas e basileia tou theou.	Luk|10|11|

12. But I say unto you, that it shall be more tolerable in that day for Sodom, than for that city.	λεγω δε υμιν οτι σοδομοις εν τη ημερα εκεινη ανεκτοτερον εσται η τη πολει εκεινη.	lego de umin oti sodomois en te emera ekeine anektoteron estai e te polei ekeine.	Luk|10|12|

13. Woe unto thee, Chorazin! woe unto thee, Bethsaida! for if the mighty works had been done in Tyre and Sidon, which have been done in you, they had a great while ago repented, sitting in sackcloth and ashes.	ουαι σοι χοραζιν ουαι σοι βηθσαιδα οτι ει εν τυρω και σιδωνι εγενοντο αι δυναμεις αι γενομεναι εν υμιν παλαι αν εν σακκω και σποδω καθημεναι μετενοησαν.	ouai soi chorazin ouai soi bethsaida oti ei en turo kai sidoni egenonto ai dunameis ai genomenai en umin palai an en sakko kai spodo kathemenai metenoesan.	Luk|10|13|

14. But it shall be more tolerable for Tyre and Sidon at The Judgment, than for you.	πλην τυρω και σιδωνι ανεκτοτερον εσται εν τη κρισει η υμιν.	plen turo kai sidoni anektoteron estai en te krisei e umin.	Luk|10|14|

15. And thou, Capernaum, which art exalted to heaven, shalt be thrust down to hell.	και συ καπερναουμ η εως του ουρανου υψωθεισα εως του αδου καταβιβασθηση.	kai su kapernaoum e eos tou ouranou upsotheisa eos tou adou katabibasthese.	Luk|10|15|

16. He that heareth you heareth Me; and he that despiseth you despiseth Me; and he that despiseth Me despiseth Him that sent Me.	ο ακουων υμων εμου ακουει και ο αθετων υμας εμε αθετει ο δε εμε αθετων αθετει τον αποστειλαντα με.	o akouon umon emou akouei kai o atheton umas eme athetei o de eme atheton athetei ton aposteilanta me.	Luk|10|16|

17. And the seventy returned again with joy, saying, [Lord LM->18 LR.D->12], even the devils are subject unto us through Thy [Name NM.A->33 NM.C->5].	υπεστρεψαν δε οι εβδομηκοντα μετα χαρας λεγοντες κυριε και τα δαιμονια υποτασσεται ημιν εν τω ονοματι σου.	upestrepsan de oi ebdomekonta meta charas legontes kurie kai ta daimonia upotassetai emin en to onomati sou.	Luk|10|17|

18. And he said unto them, I beheld Satan as lightning fall from heaven.	ειπε δε αυτοις εθεωρουν τον σαταναν ως αστραπην εκ του ουρανου πεσοντα.	eipe de autois etheoroun ton satanan os astrapen ek tou ouranou pesonta.	Luk|10|18|

19. Behold, I give unto you the authority to tread on serpents and scorpions, and over all the power of the enemy: and nothing shall by any means hurt you.	ιδου διδωμι υμιν την εξουσιαν του πατειν επανω οφεων και σκορπιων και επι πασαν την δυναμιν του εχθρου και ουδεν υμας ου μη αδικηση.	idou didomi umin ten exousian tou patein epano opheon kai skorpion kai epi pasan ten dunamin tou echthrou kai ouden umas ou me adikese.	Luk|10|19|

20. Notwithstanding in this rejoice not, that the spirits are subject unto you; but rather rejoice, because your names are written in Heaven.	πλην εν τουτω μη χαιρετε οτι τα πνευματα υμιν υποτασσεται χαιρετε δε οτι τα ονοματα υμων εγραφη εν τοις ουρανοις.	plen en touto me chairete oti ta pneumata umin upotassetai chairete de oti ta onomata umon egraphe en tois ouranois.	Luk|10|20|

21. In that hour Jesus rejoiced in The Spirit, and said, I thank Thee, O Father, Lord of Heaven and earth, that Thou hast hid these things from the wise and prudent, and hast revealed them unto babes: even so, Father; for so it seemed good in Thy Sight.	εν αυτη τη ωρα ηγαλλιασατο τω πνευματι ο ιησους και ειπεν εξομολογουμαι σοι πατερ κυριε του ουρανου και της γης οτι απεκρυψας ταυτα απο σοφων και συνετων και απεκαλυψας αυτα νηπιοις ναι ο πατηρ οτι ουτως εγενετο ευδοκια εμπροσθεν σου.	en aute te ora egalliasato to pneumati o iesous kai eipen exomologoumai soi pater kurie tou ouranou kai tes ges oti apekrupsas tauta apo sophon kai suneton kai apekalupsas auta nepiois nai o pater oti outos egeneto eudokia emprosthen sou.	Luk|10|21|

22. All things are delivered to Me of My Father: and no man knoweth who The Son is, but The Father; and who The Father is, but The Son, and he to whom The Son will reveal Him.	παντα μοι παρεδοθη υπο του πατρος μου και ουδεις γινωσκει τις εστιν ο υιος ει μη ο πατηρ και τις εστιν ο πατηρ ει μη ο υιος και ω εαν βουληται ο υιος αποκαλυψαι.	panta moi paredothe upo tou patros mou kai oudeis ginoskei tis estin o uios ei me o pater kai tis estin o pater ei me o uios kai o ean bouletai o uios apokalupsai.	Luk|10|22|

23. And He turned Him unto His disciples, and said privately, Blessed are the eyes which see the things that ye see:	και στραφεις προς τους μαθητας κατ ιδιαν ειπε μακαριοι οι οφθαλμοι οι βλεποντες α βλεπετε.	kai strapheis pros tous mathetas kat idian eipe makarioi oi ophthalmoi oi blepontes a blepete.	Luk|10|23|

24. For I tell you, that many [prophets PR.B->24] and kings have desired to see those things which ye see, and have not seen them; and to hear those things which ye hear, and have not heard them.	λεγω γαρ υμιν οτι πολλοι προφηται και βασιλεις ηθελησαν ιδειν α υμεις βλεπετε και ουκ ειδον και ακουσαι α ακουετε και ουκ ηκουσαν.	lego gar umin oti polloi prophetai kai basileis ethelesan idein a umeis blepete kai ouk eidon kai akousai a akouete kai ouk ekousan.	Luk|10|24|

25. And, behold, a certain lawyer stood up, and tempted him, saying, Teacher, what shall I do to inherit Life Eternal?	και ιδου νομικος τις ανεστη εκπειραζων αυτον και λεγων διδασκαλε τι ποιησας ζωην αιωνιον κληρονομησω	kai idou nomikos tis aneste ekpeirazon auton kai legon didaskale ti poiesas zoen aionion kleronomeso	Luk|10|25|

26. He said unto him, What is written in the law? how readest thou?	ο δε ειπε προς αυτον εν τω νομω τι γεγραπται πως αναγινωσκεις	o de eipe pros auton en to nomo ti gegraptai pos anaginoskeis	Luk|10|26|

27. And he answering said, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy strength, and with all thy mind; and thy neighbour as thyself.	ο δε αποκριθεις ειπεν αγαπησεις κυριον τον θεον σου εξ ολης της καρδιας σου και εξ ολης της ψυχης σου και εξ ολης της ισχυος σου και εξ ολης της διανοιας σου και τον πλησιον σου ως σεαυτον.	o de apokritheis eipen agapeseis kurion ton theon sou ex oles tes kardias sou kai ex oles tes psuches sou kai ex oles tes ischuos sou kai ex oles tes dianoias sou kai ton plesion sou os seauton.	Luk|10|27|

28. And He said unto him, Thou hast answered right: this do, and thou shalt live.	ειπε δε αυτω ορθως απεκριθης τουτο ποιει και ζηση.	eipe de auto orthos apekrithes touto poiei kai zese.	Luk|10|28|

29. But he, willing to justify himself, said unto Jesus, And who is my neighbour?	ο δε θελων δικαιουν εαυτον ειπε προς τον ιησουν και τις εστι μου πλησιον	o de thelon dikaioun eauton eipe pros ton iesoun kai tis esti mou plesion	Luk|10|29|

30. And Jesus answering said, A certain man went down from Jerusalem to Jericho, and fell among thieves, which stripped him of his raiment, and wounded him, and departed, leaving him half dead.	υπολαβων δε ο ιησους ειπεν ανθρωπος τις κατεβαινεν απο ιερουσαλημ εις ιεριχω και λησταις περιεπεσεν οι και εκδυσαντες αυτον και πληγας επιθεντες απηλθον αφεντες ημιθανη τυγχανοντα.	upolabon de o iesous eipen anthropos tis katebainen apo ierousalem eis iericho kai lestais periepesen oi kai ekdusantes auton kai plegas epithentes apelthon aphentes emithane tugchanonta.	Luk|10|30|

31. And by chance there came down a certain priest that way: and when he saw him, he passed by on the other side.	κατα συγκυριαν δε ιερευς τις κατεβαινεν εν τη οδω εκεινη και ιδων αυτον αντιπαρηλθεν.	kata sugkurian de iereus tis katebainen en te odo ekeine kai idon auton antiparelthen.	Luk|10|31|

32. And likewise a Levite, when he was at the place, came and looked on him, and passed by on the other side.	ομοιως δε και λευιτης γενομενος κατα τον τοπον ελθων και ιδων αντιπαρηλθε.	omoios de kai leuites genomenos kata ton topon elthon kai idon antiparelthe.	Luk|10|32|

33. But a certain Samaritan, as he journeyed, came where he was: and when he saw him, he had compassion on him,	σαμαρειτης δε τις οδευων ηλθε κατ αυτον και ιδων αυτον εσπλαγχνισθη	samareites de tis odeuon elthe kat auton kai idon auton esplagchnisthe	Luk|10|33|

34. And went to him, and bound up his wounds, pouring in oil and wine, and set him on his own beast, and brought him to an inn, and took care of him.	και προσελθων κατεδησε τα τραυματα αυτου επιχεων ελαιον και οινον επιβιβασας δε αυτον επι το ιδιον κτηνος ηγαγεν αυτον εις πανδοχειον και επεμεληθη αυτου	kai proselthon katedese ta traumata autou epicheon elaion kai oinon epibibasas de auton epi to idion ktenos egagen auton eis pandocheion kai epemelethe autou	Luk|10|34|

35. And on the morrow when he departed, he took out two pence, and gave them to the host, and said unto him, Take care of him; and whatsoever thou spendest more, when I come again, I will repay thee.	και επι την αυριον εξελθων εκβαλων δυο δηναρια εδωκε τω πανδοχει και ειπεν αυτω επιμεληθητι αυτου και ο τι αν προσδαπανησης εγω εν τω επανερχεσθαι με αποδωσω σοι.	kai epi ten aurion exelthon ekbalon duo denaria edoke to pandochei kai eipen auto epimeletheti autou kai o ti an prosdapaneses ego en to epanerchesthai me apodoso soi.	Luk|10|35|

36. Which now of these three, thinkest thou, was neighbour unto him that fell among the thieves?	τις ουν τουτων των τριων πλησιον δοκει σοι γεγονεναι του εμπεσοντος εις τους ληστας	tis oun touton ton trion plesion dokei soi gegonenai tou empesontos eis tous lestas	Luk|10|36|

37. And he said, He that shewed mercy on him. Then said Jesus unto him, Go, and do thou likewise.	ο δε ειπεν ο ποιησας το ελεος μετ αυτου. ειπεν ουν αυτω ο ιησους πορευου και συ ποιει ομοιως.	o de eipen o poiesas to eleos met autou. eipen oun auto o iesous poreuou kai su poiei omoios.	Luk|10|37|

38. Now it came to pass, as they went, that He entered into a certain village: and a certain woman named Martha received Him into her house.	εγενετο δε εν τω πορευεσθαι αυτους και αυτος εισηλθεν εις κωμην τινα γυνη δε τις ονοματι μαρθα υπεδεξατο αυτον εις τον οικον αυτης.	egeneto de en to poreuesthai autous kai autos eiselthen eis komen tina gune de tis onomati martha upedexato auton eis ton oikon autes.	Luk|10|38|

39. And she had a sister called Mary, which also sat at Jesusí Feet, and heard His Word.	και τηδε ην αδελφη καλουμενη μαρια η και παρακαθησασα παρα τους ποδας του ιησου ηκουε τον λογον αυτου.	kai tede en adelphe kaloumene maria e kai parakathesasa para tous podas tou iesou ekoue ton logon autou.	Luk|10|39|

40. But Martha was cumbered about much serving, and came to Him, and said, [Lord LR.B->19], dost Thou not care that my sister hath left me to serve alone? bid her therefore that she help me.	η δε μαρθα περιεσπατο περι πολλην διακονιαν επιστασα δε ειπε κυριε ου μελει σοι οτι η αδελφη μου μονην με κατελιπε διακονειν ειπε ουν αυτη ινα μοι συναντιλαβηται.	e de martha periespato peri pollen diakonian epistasa de eipe kurie ou melei soi oti e adelphe mou monen me katelipe diakonein eipe oun aute ina moi sunantilabetai.	Luk|10|40|

41. And Jesus answered and said unto her, Martha, Martha, thou art careful and troubled about many things:	αποκριθεις δε ειπεν αυτη ο ιησους μαρθα μαρθα μεριμνας και τυρβαζη περι πολλα	apokritheis de eipen aute o iesous martha martha merimnas kai turbaze peri polla	Luk|10|41|

42. But one thing is needful: and Mary hath chosen that good part, which shall not be taken away from her.	ενος δε εστι χρεια. μαρια δε την αγαθην μεριδα εξελεξατο ητις ουκ αφαιρεθησεται απ αυτης.	enos de esti chreia. maria de ten agathen merida exelexato etis ouk aphairethesetai ap autes.	Luk|10|42|

1. And it came to pass, that, as He was praying in a certain place, when He ceased, one of His disciples said unto Him, [Lord LM->19 LR.D->13], teach us to pray, as John also taught his disciples.	και εγενετο εν τω ειναι αυτον εν τοπω τινι προσευχομενον ως επαυσατο ειπε τις των μαθητων αυτου προς αυτον κυριε διδαξον ημας προσευχεσθαι καθως και ιωαννης εδιδαξε τους μαθητας αυτου.	kai egeneto en to einai auton en topo tini proseuchomenon os epausato eipe tis ton matheton autou pros auton kurie didaxon emas proseuchesthai kathos kai ioannes edidaxe tous mathetas autou.	Luk|11|1|

2. And He said unto them, When ye pray, say, Our Father which art in The Heavens, Hallowed be Thy [Name NM.A->34 NM.D->20]. Thy Kingdom come. Thy Will be done, as in heaven, so upon the earth.	ειπε δε αυτοις οταν προσευχησθε λεγετε πατερ ημων ο εν τοις ουρανοις αγιασθητω το ονομα σου ελθετω η βασιλεια σου γενηθητω το θελημα σου ως εν ουρανω και επι της γης	eipe de autois otan proseuchesthe legete pater emon o en tois ouranois agiastheto to onoma sou eltheto e basileia sou genetheto to thelema sou os en ourano kai epi tes ges	Luk|11|2|

3. Give us day by day our daily bread.	τον αρτον ημων τον επιουσιον διδου ημιν το καθ ημεραν	ton arton emon ton epiousion didou emin to kath emeran	Luk|11|3|

4. And forgive us our sins; for we also forgive every one that is indebted to us. And lead us not into temptation; but deliver us from the evil one.	και αφες ημιν τας αμαρτιας ημων και γαρ αυτοι αφιεμεν παντι οφειλοντι ημιν και μη εισενεγκης ημας εις πειρασμον αλλα ρυσαι ημας απο του πονηρου.	kai aphes emin tas amartias emon kai gar autoi aphiemen panti opheilonti emin kai me eisenegkes emas eis peirasmon alla rusai emas apo tou ponerou.	Luk|11|4|

5. And He said unto them, Which of you shall have a friend, and shall go unto him at midnight, and say unto him, Friend, lend me three loaves;	και ειπε προς αυτους τις εξ υμων εξει φιλον και πορευσεται προς αυτον μεσονυκτιου και ειπη αυτω φιλε χρησον μοι τρεις αρτους	kai eipe pros autous tis ex umon exei philon kai poreusetai pros auton mesonuktiou kai eipe auto phile chreson moi treis artous	Luk|11|5|

6. For a friend of mine in his journey is come to me, and I have nothing to set before him?	επειδη φιλος μου παρεγενετο εξ οδου προς με και ουκ εχω ο παραθησω αυτω	epeide philos mou paregeneto ex odou pros me kai ouk echo o paratheso auto	Luk|11|6|

7. And he from within shall answer and say, Trouble me not: the door is now shut, and my children are with me in bed; I cannot rise and give thee.	κακεινος εσωθεν αποκριθεις ειπη μη μοι κοπους παρεχε ηδη η θυρα κεκλεισται και τα παιδια μου μετ εμου εις την κοιτην εισιν ου δυναμαι αναστας δουναι σοι.	kakeinos esothen apokritheis eipe me moi kopous pareche ede e thura kekleistai kai ta paidia mou met emou eis ten koiten eisin ou dunamai anastas dounai soi.	Luk|11|7|

8. I say unto you, Though he will not rise and give him, because he is his friend, yet because of his importunity he will rise and give him as many as he needeth.	λεγω υμιν ει και ου δωσει αυτω αναστας δια το ειναι αυτου φιλον δια γε την αναιδειαν αυτου εγερθεις δωσει αυτω οσων χρηζει.	lego umin ei kai ou dosei auto anastas dia to einai autou philon dia ge ten anaideian autou egertheis dosei auto oson chrezei.	Luk|11|8|

